loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationSpeedAccuracy,locationCourse,locationCourseAccuracy,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionHeading,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_Timestamp_since1970,IP_en0,IP_pdp_ip0,deviceID,deviceOrientationTimeStamp_since1970,deviceOrientation,batteryTimeStamp_since1970,batteryState,batteryLevel,label
1698744165.020756,1,1698744164.005021,62.44635158545936,5.926276784299563,-1.738278,0.2358205,0.476343,355.6852573193561,66.68661360092821,18.10687225522275,7.843163303341878,-9999,1698744165.003644,6.816368103027344,-35.02264404296875,-21.78179931640625,176.2070922851562,173.6087799072266,19.89813995361328,188298.698647875,0.0241851806640625,-0.9586334228515624,-0.173919677734375,188298.666359875,-0.0427128411829471,0.0454399175941944,-0.0036764938849955,188298.678323875,131.9084930419922,-663.1095581054688,-716.170166015625,188298.681262875,1.590785856012793,0.0535157034727889,1.419474381871866,0.0025468473322689,0.0225094705820083,0.0007400028407573,0.0015495875850319,0.0033888816833496,-0.0152415484189987,2,0.4414906397439079,0.4793966188210589,0.5537080299431942,0.5183361878105512,0.0080634066835045,-0.9885726571083068,-0.1505297869443893,6.881660461425781,-34.88238525390625,-21.7431640625,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188296.120626,0,-2.573624,100.5388,1698744165.020515,0,1684768783,0,0,1,1698744164.993591,1,0.89,0
1698744166.00326,31,1698744165.000995,62.4463560847222,5.926261884668519,-2.261532,0.465352,0.4223268,303.3281180244222,37.71980018473582,12.63127001374731,5.165187705130331,-9999,1698744165.997603,5.198020935058594,-37.3551025390625,-20.649169921875,174.8659515380859,172.2676391601562,19.88973808288574,188299.7045535,-0.3619384765625,-0.946685791015625,0.08966064453125,188299.6722655,0.2602635324001312,0.1423640698194504,-0.1534638553857803,188299.7031655,130.2811279296875,-665.5263061523438,-715.1217651367188,188299.6946195,1.72960128409484,-0.0847266162736985,1.447028485406894,-0.1988039761781693,0.071650207042694,0.3450645506381989,0.2351176142692566,-0.1221362948417664,-0.1559050679206848,2,0.4532834385285533,0.4827307956849009,0.551629826416798,0.507158528100522,-0.0104472497478127,-0.9923505187034608,-0.1230102032423019,4.810737609863281,-37.474365234375,-20.56134033203125,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188297.120845,0,-2.544556,100.5384,1698744165.020515,0,1684768783,0,0,1,1698744164.993591,1,0.89,0
1698744167.735422,61,1698744166.99962,62.44636171319207,5.926275808976754,-2.802981,0.465352,0.514824,58.92976165714344,41.7298608037265,11.59683437168099,4.603891724910495,-9999,1698744167.725316,4.480216979980469,-37.8568115234375,-17.08306884765625,174.7542724609375,172.1559600830078,19.90115547180176,188301.4394302917,-0.0447998046875,-0.97943115234375,-0.0168304443359375,188301.4145932917,-0.0313328877091407,0.0204259119927883,0.0112734269350767,188301.4215192917,129.4208984375,-666.23095703125,-711.7913208007812,188301.4232872917,1.949930636752113,-0.3032394851993253,1.516970376683921,0.042658794671297,-0.0410184636712074,0.0077646309509873,-0.0031752418726682,0.0238354206085205,0.0248432159423828,2,0.4723196162521816,0.50123884934577,0.5356031958612878,0.4886748910895264,-0.0160661116242408,-0.9985517263412476,-0.0513475909829139,4.467658996582031,-38.00567626953125,-17.29205322265625,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188298.121421,0,-2.362236,100.5363,1698744165.020515,0,1684768783,0,0,1,1698744164.993591,1,0.89,0
1698744169.523256,91,1698744168.999191,62.44636089751399,5.926256561463532,-2.260932,0.2590084,0.3763297,266.6478423220727,53.17652730096401,17.8855104806312,7.186745767755901,-9999,1698744169.513522,6.802085876464844,-36.55902099609375,-22.0567626953125,175.4364624023438,172.8381500244141,19.90527534484863,188303.22771225,0.0179595947265625,-1.008865356445312,-0.1589202880859375,188303.20287525,-0.0423890016973018,0.0474079959094524,0.0011885687708854,188303.23049125,131.6210174560547,-663.9087524414062,-716.197265625,188303.21156925,1.562968455665973,0.0989557275570343,1.443732169611072,-0.0247805099934339,0.0510662570595741,-0.0009722937829792,0.0056840684264898,-0.030461847782135,-0.025628924369812,2,0.4423517558423354,0.4911952180164982,0.5512068009005603,0.5091399660852678,0.0125196408480405,-0.9919382333755492,-0.1261043697595596,6.722633361816406,-36.78729248046875,-22.30535888671875,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188300.122577,0,-2.235405,100.5347,1698744165.020515,0,1684768783,0,0,1,1698744164.993591,1,0.89,0
1698744171.319057,121,1698744170.999518,62.44636361624922,5.926246167878613,-3.001218,0.3669974,0.3742142,342.6256956038478,29.05199189889657,11.46208695584586,4.489722971624851,-9999,1698744171.301721,6.388252258300781,-35.917236328125,-21.1263427734375,173.5492401123047,170.950927734375,19.92178535461426,188305.015984625,-0.0035400390625,-0.9983978271484376,-0.1782989501953125,188304.991147625,0.0527146086096763,0.0096606165170669,0.0312822870910167,188305.009009625,131.2662200927734,-664.0907592773438,-715.6831665039062,188304.999841625,1.720288662714583,-0.0416075488157603,1.454523587246308,0.0858033373951911,-0.0134836556389927,0.0206776857376098,0.0158424247056245,-0.0291979908943176,-0.073021724820137,2,0.4453690937452889,0.4936497884235579,0.5570328997583325,0.4976654163101465,-0.0048256204463541,-0.993247926235199,-0.1159125119447708,6.516624450683594,-36.03070068359375,-20.8267822265625,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188302.123729,0,-2.327888,100.5359,1698744165.020515,0,1684768783,0,0,1,1698744164.993591,1,0.89,0
1698744173.100191,151,1698744171.998523,62.44636454791592,5.926249706038493,-2.972995,0.3669974,0.3793826,330.6297059606599,30.71215259599375,17.98872570198155,6.516438047024602,-9999,1698744173.090415,4.191276550292969,-38.7491455078125,-14.24652099609375,172.5218200683594,169.9235076904297,19.9238224029541,188306.80426575,-0.0021514892578125,-0.980072021484375,0.01373291015625,188306.77942875,0.1408487260341644,0.0378211475908756,-0.0001965412811841,188306.78755975,129.2022399902344,-666.8272094726562,-708.5764770507812,188306.78812175,2.667819328992823,-0.9859499693854118,1.547417257492773,0.0343189388513565,0.002856632694602,0.0116918068379163,-0.0138441808521747,0.1219800114631653,0.0456696152687072,2,0.4735365071084923,0.5189496690087577,0.5349455850724801,0.469348241067124,-0.0194962993264198,-0.9997267127037048,-0.0129088349640369,4.191276550292969,-38.7491455078125,-14.24652099609375,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188304.12488,0,-2.605331,100.5392,1698744165.020515,0,1684768783,0,0,1,1698744164.993591,1,0.89,0
1698744174.888196,181,1698744173.998501,62.44635106311444,5.926264146422125,-2.550847,0.3255688,0.4466799,182.2876014906486,24.64922541970489,22.47474673274971,8.37121913525802,-9999,1698744174.878481,6.933601379394531,-35.305908203125,-22.10223388671875,172.9817047119141,170.3833923339844,19.92259407043457,188308.5925465,0.00457763671875,-1.033737182617188,-0.1628570556640625,188308.5677095,-0.1467835903167725,0.0031268175225704,-0.0398424863815307,188308.5664835,132.1862335205078,-664.2153930664062,-716.6873779296875,188308.5764035,1.665082013911576,0.0325407892210514,1.441839387644569,-0.0807443857192993,-0.0029326612129807,-0.0409268550574779,-0.005297957919538,-0.0372495055198669,-0.0315622091293335,2,0.4351315239563499,0.4963810165876179,0.5627736688952826,0.497546391151603,0.0041840383782982,-0.99169659614563,-0.128532886505127,7.123573303222656,-35.82183837890625,-22.1168212890625,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188305.125453,0,-2.565697,100.5387,1698744165.020515,0,1684768783,0,0,1,1698744164.993591,1,0.89,0
1698744176.681294,211,1698744175.998545,62.44636074679229,5.926272621733754,-1.909296,0.6762496,0.3079722,6.773924149823141,20.00000000000005,16.91357413207589,6.123501216280912,-9999,1698744176.666905,7.876029968261719,-34.82757568359375,-23.8665771484375,171.8765258789062,169.2782135009766,19.93851852416992,188310.380826,0.0450286865234375,-0.989349365234375,-0.249847412109375,188310.355989,0.0475693829357624,0.0132454978302121,0.0013464941876009,188310.382143,132.9210968017578,-663.191650390625,-718.7303466796875,188310.364682,1.65839690141282,0.0627113616922134,1.415749176751293,0.0250814240425825,0.0636316314339637,0.0037642088718712,0.0048788702115416,-0.026918888092041,-0.0841728895902633,2,0.4214231345729441,0.4953188860307317,0.5737227955146104,0.4978995507014414,0.0096779838204383,-0.9880042672157288,-0.1541234850883484,7.867057800292969,-34.614990234375,-23.65667724609375,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188307.126604,0,-2.30146,100.5355,1698744165.020515,0,1684768783,0,0,1,1698744164.993591,1,0.89,0
1698744178.465115,241,1698744177.998584,62.44635751706281,5.926277019004925,-1.804202,0.1170208,0.3079722,-1.0,-1.0,25.55685318583831,8.427583791770553,-9999,1698744178.455124,4.454963684082031,-38.67474365234375,-12.62652587890625,169.842041015625,167.2437286376953,19.94207954406738,188312.169104875,-0.0243377685546875,-0.9150238037109376,0.0487823486328125,188312.144267875,0.0148846739903092,0.0541428625583648,0.0548294261097908,188312.145181875,129.4078826904297,-666.9906616210938,-707.0562744140625,188312.152961875,-2.205843549877529,-2.355125207818245,1.534537931126583,0.0589900389313697,-0.0061713075265288,0.0331177003681659,0.0034929625689983,0.0159593820571899,0.0140942335128784,2,0.4734556985468485,0.5372562745829286,0.5353441977363385,0.4478863377233764,-0.0256640315055847,-0.9993427395820618,0.0256092064082622,4.468132019042969,-38.83447265625,-12.691650390625,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188309.127754,0,-2.491707,100.5378,1698744165.020515,0,1684768783,0,0,1,1698744164.993591,1,0.89,0
1698744180.249199,271,1698744179.998612,62.44634774504138,5.926277904925731,-2.449264,0.1157574,0.3079722,167.9542890011458,19.99999999999616,30.77408797263123,10.57693389693483,-9999,1698744180.223938,6.271385192871094,-36.16668701171875,-19.63140869140625,170.2429351806641,167.6446228027344,19.93990898132324,188313.9573829167,0.0131378173828125,-0.97991943359375,-0.1225128173828125,188313.9325459167,-0.1345860362052917,0.0481475554406642,-0.0164724495261907,188313.9315709167,130.9442901611328,-664.2096557617188,-713.7687377929688,188313.9412389167,1.793168838167388,-0.0563324941707236,1.488987670673546,-0.1542265266180038,0.0324849300086498,0.0219470560550689,0.0066152177751064,-0.029284656047821,-0.0338723734021186,2,0.4390253646627681,0.5161989169930127,0.5623773249886111,0.4738432435590963,-0.0046010818332433,-0.996655523777008,-0.0815908163785934,6.088142395019531,-36.04095458984375,-19.41656494140625,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188311.128909,0,-2.470573,100.5375,1698744165.020515,0,1684768783,0,0,1,1698744164.993591,1,0.89,0
